customer_id,customer_name,customer_segment,last_order_date,days_since_last
536,Michelle Garcia,Home Office,2023-12-24,373
1078,Anthony Rodriguez,Corporate,2023-12-25,372
1541,Robert Lewis,Consumer,2023-12-25,372
573,Jessica Allen,Consumer,2023-12-26,371
311,Michael Jones,Consumer,2023-12-27,370
323,Anthony Rodriguez,Consumer,2023-12-29,368
1061,Rebecca Sanchez,Home Office,2023-12-29,368
1162,Charles Hernandez,Consumer,2023-12-31,366
489,Anthony Jones,Home Office,2024-01-01,365
617,Barbara King,Corporate,2024-01-04,362
77,Susan Miller,Consumer,2024-01-09,357
1058,Christopher Lee,Consumer,2024-01-10,356
609,Jessica Lopez,Corporate,2024-01-13,353
1183,Robert Gonzalez,Consumer,2024-01-14,352
1410,Kevin Walker,Small Business,2024-01-16,350
1055,Daniel White,Corporate,2024-01-17,349
550,Linda White,Consumer,2024-01-18,348
856,Sandra Allen,Corporate,2024-01-18,348
1019,Elizabeth Martin,Corporate,2024-01-24,342
1283,Stephanie Walker,Consumer,2024-01-24,342
1757,Stephanie Smith,Home Office,2024-01-25,341
1433,Brian King,Consumer,2024-01-26,340
1260,Barbara Davis,Corporate,2024-01-29,337
1408,Michael Moore,Consumer,2024-01-29,337
491,Anthony Sanchez,Home Office,2024-02-02,333
576,Sarah Garcia,Home Office,2024-02-02,333
1566,Nicole Garcia,Small Business,2024-02-02,333
948,Matthew Allen,Small Business,2024-02-03,332
869,Michael Garcia,Home Office,2024-02-06,329
1120,Susan Lopez,Consumer,2024-02-08,327
1025,David Martinez,Corporate,2024-02-11,324
778,Brittany Garcia,Consumer,2024-02-12,323
1106,Stephanie Martin,Home Office,2024-02-12,323
1174,Robert Smith,Consumer,2024-02-12,323
753,Anthony Gonzalez,Small Business,2024-02-15,320
1258,Rebecca Smith,Consumer,2024-02-19,316
1414,Christopher Martin,Consumer,2024-02-20,315
1059,Robert Sanchez,Home Office,2024-02-21,314
255,Matthew Robinson,Home Office,2024-02-22,313
1187,Mary Robinson,Consumer,2024-02-23,312
162,Andrew Brown,Home Office,2024-02-24,311
776,Karen Jones,Consumer,2024-02-24,311
1736,Robert Garcia,Corporate,2024-02-26,309
1470,Sharon Rodriguez,Corporate,2024-02-27,308
891,Kimberly Allen,Consumer,2024-02-28,307
1329,Joshua Wilson,Consumer,2024-02-28,307
1628,Tiffany Martinez,Consumer,2024-02-28,307
14,Amanda Thomas,Consumer,2024-03-03,303
835,David Anderson,Small Business,2024-03-06,300
730,Amanda Ramirez,Corporate,2024-03-07,299
1158,Sarah Williams,Small Business,2024-03-07,299
1270,Andrew Young,Corporate,2024-03-10,296
400,Joshua Robinson,Consumer,2024-03-11,295
484,David Smith,Home Office,2024-03-11,295
138,Justin Ramirez,Home Office,2024-03-12,294
475,William Martinez,Consumer,2024-03-12,294
1037,Justin Miller,Small Business,2024-03-12,294
377,Jessica Jones,Corporate,2024-03-13,293
1457,Matthew Harris,Corporate,2024-03-14,292
1532,Anthony Walker,Consumer,2024-03-14,292
57,Andrew Thomas,Small Business,2024-03-15,291
1405,Sarah Harris,Small Business,2024-03-17,289
264,Melissa Moore,Small Business,2024-03-18,288
360,Michelle Johnson,Consumer,2024-03-18,288
426,Joshua Thompson,Consumer,2024-03-20,286
1673,William Miller,Home Office,2024-03-20,286
48,Kevin Ramirez,Consumer,2024-03-22,284
1407,Matthew Johnson,Consumer,2024-03-23,283
1772,Mary White,Consumer,2024-03-23,283
568,Ashley Lee,Consumer,2024-03-26,280
789,Daniel Gonzalez,Consumer,2024-03-26,280
1722,Robert Lopez,Consumer,2024-03-26,280
1675,Matthew Garcia,Home Office,2024-03-27,279
1016,Joshua Thompson,Home Office,2024-03-28,278
371,Jeffrey Lewis,Consumer,2024-04-01,274
169,Michael Garcia,Consumer,2024-04-02,273
261,William Perez,Consumer,2024-04-03,272
634,Rebecca Clark,Consumer,2024-04-03,272
691,Jason Wilson,Corporate,2024-04-03,272
699,Tiffany Garcia,Consumer,2024-04-03,272
736,Barbara Martinez,Consumer,2024-04-03,272
1196,David Anderson,Consumer,2024-04-03,272
742,Joshua Thomas,Consumer,2024-04-06,269
797,Michelle Smith,Consumer,2024-04-07,268
1256,Elizabeth White,Consumer,2024-04-08,267
1022,Laura Taylor,Small Business,2024-04-09,266
463,William Sanchez,Corporate,2024-04-11,264
1241,Elizabeth Davis,Consumer,2024-04-11,264
398,Thomas Sanchez,Consumer,2024-04-12,263
519,Amy King,Home Office,2024-04-12,263
1606,Emily Allen,Home Office,2024-04-14,261
100,Jennifer Martin,Consumer,2024-04-15,260
790,Michael Perez,Consumer,2024-04-16,259
942,Kimberly Davis,Consumer,2024-04-16,259
160,Stephanie Brown,Consumer,2024-04-18,257
439,Tiffany Rodriguez,Consumer,2024-04-18,257
330,Jessica Lee,Home Office,2024-04-19,256
548,William Hernandez,Consumer,2024-04-20,255
1680,Sandra Taylor,Consumer,2024-04-21,254
626,Michael Walker,Consumer,2024-04-22,253
453,Michelle Anderson,Home Office,2024-04-23,252
798,Tiffany White,Home Office,2024-04-23,252
1077,Angela Martin,Home Office,2024-04-23,252
1386,Matthew Perez,Consumer,2024-04-23,252
46,Justin Anderson,Home Office,2024-04-24,251
744,Emily Thompson,Home Office,2024-04-24,251
405,Amy Perez,Home Office,2024-04-25,250
1035,Justin King,Home Office,2024-04-25,250
814,Thomas Anderson,Consumer,2024-04-28,247
995,James Gonzalez,Consumer,2024-04-29,246
984,Thomas Jackson,Consumer,2024-05-01,244
58,Ashley Lewis,Consumer,2024-05-02,243
650,Kimberly Walker,Consumer,2024-05-02,243
1629,Christopher Hernandez,Consumer,2024-05-03,242
851,Stephanie Lewis,Consumer,2024-05-04,241
174,Emily Jackson,Consumer,2024-05-05,240
157,Andrew Jones,Consumer,2024-05-06,239
472,Elizabeth Perez,Small Business,2024-05-06,239
209,John Allen,Corporate,2024-05-07,238
913,Angela King,Consumer,2024-05-07,238
1330,Brittany Brown,Consumer,2024-05-07,238
1714,Brandon Garcia,Corporate,2024-05-07,238
357,Nicole Allen,Corporate,2024-05-08,237
718,Robert Hernandez,Corporate,2024-05-08,237
280,Kevin White,Corporate,2024-05-09,236
1758,Joshua Young,Consumer,2024-05-09,236
684,Jennifer Harris,Consumer,2024-05-10,235
830,Sarah Davis,Consumer,2024-05-11,234
906,Michael Martinez,Consumer,2024-05-11,234
923,Laura Martin,Corporate,2024-05-12,233
177,Jessica Smith,Consumer,2024-05-13,232
502,Michael Young,Consumer,2024-05-13,232
562,Ashley Clark,Corporate,2024-05-13,232
1396,Barbara Davis,Consumer,2024-05-14,231
1607,Kimberly Rodriguez,Home Office,2024-05-15,230
1630,Rebecca White,Consumer,2024-05-15,230
1164,Amanda Gonzalez,Consumer,2024-05-16,229
1728,Ashley Brown,Consumer,2024-05-16,229
641,Nicole Anderson,Corporate,2024-05-17,228
749,Emily King,Home Office,2024-05-17,228
1080,Melissa Clark,Small Business,2024-05-18,227
1089,Jeffrey Thomas,Corporate,2024-05-19,226
1677,Michael Thompson,Consumer,2024-05-20,225
1337,Emily Martin,Consumer,2024-05-21,224
612,Brittany Gonzalez,Consumer,2024-05-22,223
976,Karen Rodriguez,Corporate,2024-05-22,223
524,Kimberly Rodriguez,Home Office,2024-05-23,222
958,Michelle Harris,Small Business,2024-05-24,221
62,Linda Miller,Consumer,2024-05-26,219
223,Melissa Harris,Corporate,2024-05-26,219
24,Matthew Moore,Small Business,2024-05-27,218
25,Jason Jones,Corporate,2024-05-27,218
846,Brian Smith,Corporate,2024-05-27,218
1727,Amanda Anderson,Home Office,2024-05-28,217
1220,John Rodriguez,Corporate,2024-05-31,214
442,Amanda King,Consumer,2024-06-01,213
981,Barbara Thomas,Consumer,2024-06-01,213
1667,Michael Garcia,Corporate,2024-06-01,213
372,Susan Jones,Consumer,2024-06-03,211
881,Thomas Hernandez,Consumer,2024-06-03,211
1465,Anthony Lopez,Home Office,2024-06-03,211
1565,Brittany Clark,Corporate,2024-06-03,211
1390,Susan Young,Consumer,2024-06-04,210
874,Scott Taylor,Consumer,2024-06-07,207
1671,Kimberly Williams,Consumer,2024-06-07,207
126,Jason Lewis,Consumer,2024-06-08,206
1101,Michelle Davis,Consumer,2024-06-08,206
1702,Amy Robinson,Home Office,2024-06-08,206
175,Stephanie Lewis,Consumer,2024-06-09,205
894,Stephanie Garcia,Small Business,2024-06-09,205
1431,James Wilson,Consumer,2024-06-09,205
1579,Linda Young,Small Business,2024-06-09,205
285,Emily Lewis,Consumer,2024-06-11,203
1419,Michael White,Consumer,2024-06-12,202
613,Sarah Young,Consumer,2024-06-13,201
911,Thomas Rodriguez,Corporate,2024-06-14,200
183,Daniel Moore,Small Business,2024-06-18,196
692,Elizabeth Sanchez,Consumer,2024-06-18,196
236,Justin Jones,Corporate,2024-06-19,195
1041,Brittany Davis,Consumer,2024-06-21,193
1006,Michael Anderson,Consumer,2024-06-22,192
1413,Rebecca Allen,Consumer,2024-06-23,191
1704,Emily Wilson,Home Office,2024-06-23,191
561,Melissa Davis,Home Office,2024-06-25,189
759,Ashley Taylor,Consumer,2024-06-25,189
231,Anthony Sanchez,Corporate,2024-06-26,188
1052,William Davis,Consumer,2024-06-26,188
1580,Brandon Lee,Consumer,2024-06-26,188
22,Angela Sanchez,Corporate,2024-06-27,187
85,Michael Jones,Small Business,2024-06-27,187
630,Andrew Davis,Small Business,2024-06-27,187
1447,Brian Brown,Small Business,2024-06-27,187
795,Robert Allen,Consumer,2024-06-28,186
1236,Rebecca Hernandez,Corporate,2024-06-28,186
1785,William Taylor,Consumer,2024-06-28,186
1321,Jennifer Clark,Consumer,2024-06-29,185
36,David Clark,Corporate,2024-07-01,183
434,Brittany Lee,Consumer,2024-07-02,182
809,Justin Thomas,Home Office,2024-07-02,182
860,Brittany Lewis,Consumer,2024-07-02,182
710,Susan Martin,Consumer,2024-07-03,181
929,Michael Allen,Home Office,2024-07-03,181
189,William Jones,Consumer,2024-07-04,180
545,Jennifer Perez,Consumer,2024-07-05,179
1649,Daniel Lopez,Consumer,2024-07-07,177
552,Susan White,Consumer,2024-07-08,176
1203,Robert Johnson,Home Office,2024-07-08,176
640,Angela Davis,Consumer,2024-07-09,175
1739,Mary Hernandez,Small Business,2024-07-10,174
653,Andrew Anderson,Consumer,2024-07-11,173
1038,Susan Gonzalez,Consumer,2024-07-11,173
1232,Sandra Gonzalez,Small Business,2024-07-11,173
1081,Michael Allen,Small Business,2024-07-12,172
16,Robert King,Consumer,2024-07-14,170
299,Joshua Jones,Home Office,2024-07-15,169
838,Linda Brown,Corporate,2024-07-16,168
1095,Sarah Taylor,Corporate,2024-07-18,166
586,Nicole Gonzalez,Home Office,2024-07-19,165
935,James Moore,Home Office,2024-07-25,159
766,Angela Garcia,Corporate,2024-07-27,157
1563,Emily Anderson,Small Business,2024-07-27,157
1599,Laura Ramirez,Consumer,2024-07-27,157
1222,Jeffrey Martin,Small Business,2024-07-31,153
722,Jessica Moore,Home Office,2024-08-01,152
899,Nicole Wilson,Corporate,2024-08-01,152
1271,David Robinson,Small Business,2024-08-01,152
571,Michael Allen,Corporate,2024-08-03,150
683,Thomas Johnson,Consumer,2024-08-03,150
882,Sharon Thomas,Small Business,2024-08-03,150
916,Tiffany Thomas,Home Office,2024-08-03,150
1243,Matthew Gonzalez,Consumer,2024-08-03,150
63,William White,Consumer,2024-08-05,148
1317,Christopher Martin,Corporate,2024-08-05,148
604,Patricia Lee,Corporate,2024-08-06,147
1074,Patricia Walker,Consumer,2024-08-07,146
303,Michael Miller,Consumer,2024-08-08,145
1049,Anthony Young,Home Office,2024-08-08,145
1341,Christopher Brown,Small Business,2024-08-09,144
1530,Linda Lewis,Corporate,2024-08-09,144
217,James Martinez,Consumer,2024-08-11,142
1126,Sarah Davis,Consumer,2024-08-11,142
1154,Joshua King,Consumer,2024-08-11,142
1296,Jennifer Brown,Small Business,2024-08-11,142
45,David White,Home Office,2024-08-14,139
959,Ashley Brown,Corporate,2024-08-14,139
448,William Gonzalez,Consumer,2024-08-15,138
1763,Sandra Martinez,Home Office,2024-08-16,137
211,Karen Williams,Corporate,2024-08-17,136
591,Charles Smith,Small Business,2024-08-17,136
723,Daniel Clark,Corporate,2024-08-17,136
1653,Anthony Smith,Consumer,2024-08-17,136
815,William Anderson,Small Business,2024-08-18,135
1195,Barbara Allen,Home Office,2024-08-18,135
1597,Andrew Sanchez,Consumer,2024-08-18,135
1647,Emily Gonzalez,Small Business,2024-08-18,135
1789,Robert Robinson,Consumer,2024-08-18,135
190,Brandon Walker,Corporate,2024-08-20,133
1175,Stephanie Hernandez,Consumer,2024-08-20,133
1658,Barbara Davis,Corporate,2024-08-20,133
1734,Amanda Perez,Consumer,2024-08-20,133
1456,Patricia Martin,Corporate,2024-08-21,132
1498,Robert Allen,Consumer,2024-08-21,132
1570,Charles Thompson,Home Office,2024-08-21,132
329,Mary Lopez,Consumer,2024-08-22,131
205,Elizabeth Young,Home Office,2024-08-23,130
419,Ashley Walker,Home Office,2024-08-23,130
1697,Patricia Lee,Consumer,2024-08-23,130
96,Karen Lewis,Consumer,2024-08-24,129
733,Sandra Garcia,Small Business,2024-08-24,129
74,James Rodriguez,Consumer,2024-08-25,128
610,Jessica Robinson,Consumer,2024-08-25,128
964,Matthew Miller,Corporate,2024-08-25,128
1357,Elizabeth Thomas,Consumer,2024-08-25,128
1047,Anthony White,Home Office,2024-08-26,127
1514,Sarah Thompson,Consumer,2024-08-26,127
1685,Thomas King,Consumer,2024-08-26,127
75,Kevin Taylor,Consumer,2024-08-28,125
863,Stephanie Davis,Corporate,2024-08-28,125
1046,Jennifer Moore,Corporate,2024-08-28,125
1462,Melissa Rodriguez,Consumer,2024-08-28,125
54,Jason King,Home Office,2024-08-29,124
73,Charles Moore,Home Office,2024-08-29,124
624,William Anderson,Consumer,2024-08-30,123
740,Charles Johnson,Small Business,2024-08-30,123
1742,Stephanie Lewis,Home Office,2024-08-30,123
403,Amanda Clark,Consumer,2024-08-31,122
887,Thomas Lee,Consumer,2024-08-31,122
992,Andrew Hernandez,Consumer,2024-08-31,122
1439,Jennifer Garcia,Corporate,2024-08-31,122
192,Brian Williams,Small Business,2024-09-01,121
603,Thomas Lewis,Consumer,2024-09-01,121
615,William Garcia,Consumer,2024-09-01,121
751,James Thompson,Corporate,2024-09-02,120
1583,Brandon Lee,Corporate,2024-09-02,120
577,Brian Miller,Corporate,2024-09-03,119
779,Stephanie Robinson,Small Business,2024-09-03,119
1043,Jessica Moore,Consumer,2024-09-04,118
1586,Melissa Moore,Small Business,2024-09-04,118
1768,Jason Young,Corporate,2024-09-04,118
139,William Perez,Small Business,2024-09-05,117
163,Andrew Sanchez,Consumer,2024-09-05,117
800,James Brown,Small Business,2024-09-05,117
871,Matthew Martinez,Corporate,2024-09-05,117
348,Jason Thompson,Corporate,2024-09-06,116
417,Stephanie Martin,Consumer,2024-09-06,116
1026,William Moore,Consumer,2024-09-07,115
1632,Andrew King,Home Office,2024-09-07,115
588,David Sanchez,Consumer,2024-09-09,113
176,Jason Harris,Corporate,2024-09-10,112
316,Jennifer Robinson,Consumer,2024-09-10,112
250,Andrew Rodriguez,Consumer,2024-09-11,111
1643,Anthony Jones,Corporate,2024-09-11,111
