customer_id,customer_name,customer_segment,order_count,total_spend
1420,Jennifer Lewis,Corporate,59,139687.33
886,Jason Perez,Small Business,59,132908.61
714,Ashley Jones,Corporate,59,162088.89
608,Mary Thomas,Corporate,59,162927.44
320,William Allen,Home Office,59,114970.49
1770,Jessica Lee,Corporate,58,160540.41
1376,James Thompson,Small Business,58,140363.02
243,Brittany Jackson,Corporate,58,131225.78
1197,Sandra Gonzalez,Small Business,57,164536.19
551,Barbara Davis,Consumer,57,60166.12
347,Melissa Moore,Corporate,57,140150.46
133,David Moore,Small Business,57,123365.15
574,Thomas Lopez,Corporate,56,177176.39
391,Christopher Taylor,Corporate,56,152290.98
69,Emily Davis,Small Business,56,156694.11
1278,Susan Gonzalez,Small Business,55,115032.22
1488,Patricia Rodriguez,Small Business,54,106875.55
1001,Kevin Lopez,Small Business,54,125589.68
498,Robert Jones,Corporate,54,139182.21
1761,Andrew Brown,Small Business,53,110444.82
1703,Jason Taylor,Corporate,53,95571.39
1346,Emily White,Small Business,53,134588.5
1268,Anthony Smith,Corporate,53,141473.35
1141,Sandra Ramirez,Corporate,53,124457.21
787,William Harris,Corporate,53,130858.69
1104,Justin Gonzalez,Consumer,52,48355.07
1088,Justin Lee,Corporate,52,121218.46
399,Mary Wilson,Home Office,52,75236.4
1776,Robert Brown,Small Business,51,87693.1
1557,Brittany Jackson,Small Business,51,104826.71
1500,Joshua Wilson,Home Office,51,67679.67
1393,William Anderson,Corporate,51,123983.68
1265,Emily Allen,Small Business,51,116835.68
1194,Stephanie Young,Corporate,51,97859.14
1064,Robert King,Corporate,51,146199.56
1010,James Lewis,Home Office,51,74990.82
1005,Sandra Martinez,Home Office,51,82501.36
909,Amy Davis,Home Office,51,62310.93
901,Mary Moore,Small Business,51,142621.42
565,Karen Wilson,Corporate,51,127175.33
553,Laura Rodriguez,Home Office,51,71785.79
1199,James Jones,Small Business,50,93734.96
238,Barbara Gonzalez,Corporate,50,138228.45
180,Andrew Johnson,Small Business,50,96820.83
1520,Nicole Miller,Corporate,49,115797.03
1267,Emily Jackson,Corporate,49,121618.21
1156,Kevin Perez,Corporate,49,134215.82
791,Anthony Miller,Corporate,49,119929.07
212,Emily Walker,Home Office,49,74942.84
1402,Amanda Lewis,Small Business,48,112459.03
1140,Amy Martin,Consumer,48,72731.37
383,Linda Rodriguez,Corporate,48,153342.73
335,Laura Rodriguez,Corporate,48,114919.38
241,Tiffany Robinson,Corporate,48,130774.42
234,Elizabeth Miller,Small Business,48,144182.17
1663,Daniel Wilson,Corporate,47,113474.1
1054,Joshua Allen,Home Office,47,99600.0
664,Barbara Brown,Corporate,47,104432.12
395,Joshua Jones,Home Office,47,62388.38
95,Mary Miller,Home Office,47,81956.11
7,Rebecca Martin,Corporate,47,115793.53
1484,Susan Rodriguez,Consumer,46,52614.44
1361,Michelle White,Corporate,46,135500.39
1157,Stephanie Thompson,Corporate,46,109722.83
949,Stephanie Lee,Corporate,46,146368.37
473,Jeffrey Young,Corporate,46,132511.32
1623,Sharon Johnson,Home Office,45,70622.1
1533,Daniel Miller,Corporate,45,97459.44
1097,Kimberly Davis,Corporate,45,96343.99
878,Charles Miller,Corporate,45,116269.46
771,Angela Smith,Corporate,45,107994.83
431,Andrew Moore,Small Business,45,106697.57
88,Anthony Taylor,Home Office,45,93912.56
72,Barbara Walker,Home Office,45,55504.47
853,Justin Harris,Corporate,44,120411.68
768,Brittany Jones,Corporate,44,123413.03
8,Christopher Rodriguez,Corporate,44,64348.16
1620,Melissa Martin,Home Office,43,47817.23
1517,Sharon Jones,Corporate,43,109647.64
1274,Kimberly Perez,Home Office,43,69785.12
1234,Jeffrey Garcia,Corporate,43,112881.88
1228,Emily Miller,Consumer,43,76763.97
1134,Christopher Clark,Corporate,43,98998.94
777,Ashley Walker,Home Office,43,81513.17
701,Justin Clark,Corporate,43,118878.0
677,Daniel Taylor,Corporate,43,110134.13
321,Thomas Sanchez,Home Office,43,95835.71
94,Daniel Brown,Consumer,43,42526.38
21,Thomas Taylor,Consumer,43,78296.99
1700,Laura Robinson,Home Office,42,56603.85
1600,Sharon Jones,Small Business,42,100319.93
1595,William Miller,Corporate,42,92623.13
1518,Amanda Gonzalez,Corporate,42,121282.01
1497,James Allen,Corporate,42,169769.25
1304,Emily Jackson,Corporate,42,119957.52
1221,Patricia Jackson,Small Business,42,86506.49
1063,Thomas Rodriguez,Home Office,42,53870.24
1024,Daniel Anderson,Corporate,42,108394.55
729,Jason Martinez,Home Office,42,61966.05
671,Robert Gonzalez,Corporate,42,80886.76
597,Kimberly Garcia,Corporate,42,120021.93
464,William Young,Small Business,42,113845.27
384,Jeffrey Moore,Corporate,42,79383.35
224,Ashley Sanchez,Consumer,42,66636.97
115,Emily Ramirez,Corporate,42,116650.87
1688,Michael Wilson,Corporate,41,91402.23
1686,Rebecca Allen,Corporate,41,111347.22
1633,Jessica Davis,Corporate,41,96930.26
1383,Charles Williams,Corporate,41,120324.96
1367,James White,Corporate,41,106353.56
1073,Patricia Martinez,Home Office,41,57761.3
1036,Brittany Lee,Corporate,41,94652.45
921,Rebecca Thomas,Small Business,41,80328.37
762,Jason Jones,Home Office,41,41255.89
488,Laura Martin,Corporate,41,106936.59
325,Christopher Taylor,Corporate,41,85577.84
307,Joshua Miller,Small Business,41,85418.35
245,Jessica Moore,Home Office,41,62040.06
146,William Martin,Consumer,41,64119.08
123,Tiffany Hernandez,Home Office,41,63731.28
1676,Sandra Harris,Small Business,40,93833.63
1155,David Jackson,Small Business,40,68145.89
933,Laura White,Consumer,40,60441.3
842,Sharon Brown,Small Business,40,77975.98
467,Angela Jackson,Consumer,40,51521.74
445,Stephanie Lee,Corporate,40,111531.62
429,Robert Davis,Corporate,40,105960.31
390,Emily Thomas,Small Business,40,93830.16
117,Barbara Clark,Consumer,40,52078.74
1718,Patricia Moore,Corporate,39,83485.85
1581,Barbara Young,Home Office,39,60383.17
578,Tiffany Williams,Consumer,39,55430.77
28,Linda Thompson,Corporate,39,97758.18
1450,Kevin Thomas,Small Business,38,90162.89
1008,Nicole Johnson,Home Office,38,35703.25
956,Sharon Harris,Consumer,38,41310.12
922,Brian Martin,Corporate,38,112846.45
781,William Johnson,Consumer,38,42087.94
661,Rebecca Lee,Home Office,38,59451.03
313,Michael Garcia,Home Office,38,68220.23
270,Nicole Jackson,Home Office,38,52838.34
251,Michael Thompson,Consumer,38,47885.32
1449,Michael Robinson,Corporate,37,93725.94
1179,Justin Lee,Home Office,37,72026.17
1124,Jeffrey White,Consumer,37,35776.55
960,John Anderson,Corporate,37,79917.0
64,Joshua Thompson,Corporate,37,94023.43
1645,Justin Lopez,Small Business,36,73414.1
1551,Jessica Harris,Consumer,36,45559.92
1384,Kevin Gonzalez,Small Business,36,92700.99
1285,Mary King,Small Business,36,86167.24
1136,Thomas Harris,Small Business,36,73819.47
973,Sarah Gonzalez,Home Office,36,47135.57
919,Matthew Rodriguez,Home Office,36,45175.43
907,Brittany Thompson,Corporate,36,76462.95
662,Jessica King,Consumer,36,60587.9
582,Rebecca Williams,Small Business,36,94514.21
487,Jessica Smith,Corporate,36,70657.12
356,Michelle Taylor,Consumer,36,35161.08
221,Brittany Davis,Small Business,36,76193.92
182,Sandra Martinez,Home Office,36,69107.35
1786,Jennifer Lewis,Consumer,35,32475.5
1679,Joshua Sanchez,Consumer,35,51514.44
1589,Christopher Gonzalez,Small Business,35,76481.19
1423,Christopher Harris,Corporate,35,96276.19
1209,Emily Young,Corporate,35,95340.89
1047,Anthony White,Home Office,35,42321.3
408,Michael Clark,Small Business,35,78470.49
387,Kevin Lopez,Corporate,35,82672.64
92,Sarah King,Consumer,35,46873.08
66,Robert Taylor,Small Business,35,81211.74
1662,Daniel Garcia,Corporate,34,81957.63
1508,Brandon Anderson,Consumer,34,40990.01
1233,Kevin Robinson,Corporate,34,81382.89
1079,Sharon Smith,Consumer,34,30379.13
1033,Andrew Garcia,Consumer,34,22726.32
1009,Karen White,Consumer,34,38954.52
466,Linda Hernandez,Small Business,34,109813.47
414,John Smith,Small Business,34,55018.15
385,David White,Corporate,34,81682.09
293,Scott Lopez,Small Business,34,81459.12
289,William Moore,Small Business,34,72161.76
207,Karen Smith,Small Business,34,66006.75
204,Jennifer Lewis,Consumer,34,47617.26
42,Sharon Ramirez,Consumer,34,60955.7
1416,Matthew Jones,Consumer,33,30749.71
926,Michael Garcia,Corporate,33,70753.11
877,Stephanie Robinson,Home Office,33,52481.93
847,Amanda Lee,Corporate,33,60099.93
737,Justin Wilson,Small Business,33,72989.6
614,Brandon Garcia,Consumer,33,56168.67
485,Michael Thompson,Corporate,33,99685.22
230,Sharon Garcia,Home Office,33,60948.12
135,Joshua Taylor,Corporate,33,97072.88
121,Emily Martin,Corporate,33,85953.54
111,John Martinez,Small Business,33,63993.19
39,David Perez,Small Business,33,76453.73
1793,Mary Taylor,Corporate,32,92232.5
1754,Sarah Ramirez,Small Business,32,72442.89
1753,Christopher Thompson,Small Business,32,37370.55
1593,Michael Sanchez,Small Business,32,69270.52
1576,David Lewis,Corporate,32,64441.63
1486,Scott Perez,Home Office,32,66063.97
1336,Rebecca Jones,Corporate,32,81809.14
1328,Tiffany Lopez,Consumer,32,34178.26
1299,Kimberly White,Small Business,32,85158.31
1160,Sandra Miller,Consumer,32,43142.52
865,Andrew Lewis,Corporate,32,121745.37
829,Thomas Miller,Home Office,32,53074.26
786,Joshua Taylor,Consumer,32,27945.1
407,Nicole Jackson,Home Office,32,44297.58
295,Matthew White,Home Office,32,59148.18
129,Rebecca Thompson,Home Office,32,44176.36
99,Stephanie Garcia,Corporate,32,85003.08
78,William Brown,Small Business,32,78774.79
29,Michael Martinez,Corporate,32,91949.93
1705,Robert Robinson,Corporate,31,88730.57
1555,Michael Brown,Consumer,31,33888.78
1397,Mary Perez,Home Office,31,62571.36
1389,Melissa King,Small Business,31,69482.0
1030,Anthony Smith,Home Office,31,67125.59
689,Brian Brown,Consumer,31,44921.8
670,Sarah Lee,Corporate,31,84274.63
663,Kevin Miller,Small Business,31,50763.67
581,Nicole Moore,Consumer,31,39249.68
509,Jennifer Rodriguez,Corporate,31,52387.45
490,Barbara King,Small Business,31,59482.01
354,Kevin Allen,Corporate,31,79524.89
333,Robert Jackson,Home Office,31,56073.99
1720,Amy Davis,Corporate,30,67160.01
1636,Susan Williams,Corporate,30,81891.07
1572,Laura Thomas,Consumer,30,33144.23
1352,Ashley Davis,Home Office,30,72527.68
1125,David Walker,Corporate,30,84442.3
979,Sandra Anderson,Corporate,30,60716.87
932,Patricia Williams,Consumer,30,37517.27
889,Andrew Garcia,Corporate,30,81308.07
752,Jessica Lewis,Consumer,30,36890.13
638,Christopher Martin,Consumer,30,29156.88
589,Scott Rodriguez,Consumer,30,38887.68
265,Rebecca Brown,Corporate,30,88344.67
140,Ashley Moore,Corporate,30,87592.33
9,Melissa Thomas,Corporate,30,68237.87
1701,Brittany Davis,Consumer,29,43965.17
1519,Jessica Hernandez,Small Business,29,70720.35
1437,Joshua Robinson,Consumer,29,42530.38
1370,Daniel Lewis,Corporate,29,82054.36
1362,Kevin Lee,Corporate,29,93468.67
1322,Robert Martinez,Consumer,29,34041.86
1163,Nicole Hernandez,Consumer,29,36884.79
892,Mary Davis,Corporate,29,65334.63
734,Kimberly Robinson,Consumer,29,38437.21
726,Sharon Thomas,Corporate,29,62100.22
676,Christopher Williams,Home Office,29,40449.17
496,Melissa Walker,Home Office,29,52835.42
301,Melissa Perez,Small Business,29,66205.97
284,Mary Robinson,Home Office,29,45230.27
247,William Anderson,Corporate,29,63874.06
195,Brittany Harris,Corporate,29,85403.7
27,Susan Garcia,Consumer,29,34344.95
1797,Robert Gonzalez,Small Business,28,66863.34
1740,Christopher Young,Corporate,28,73592.52
1542,Rebecca Taylor,Small Business,28,80180.8
1442,Melissa King,Consumer,28,20488.8
1276,Patricia Gonzalez,Small Business,28,62477.1
1230,Justin Thompson,Corporate,28,51666.61
1223,Angela Clark,Small Business,28,54729.71
1184,Susan Jones,Consumer,28,42559.45
802,Brandon Rodriguez,Small Business,28,50364.15
794,Rebecca Williams,Corporate,28,47263.32
627,Michael Johnson,Corporate,28,67120.11
167,John Williams,Small Business,28,67514.06
166,Joshua Martin,Small Business,28,48494.48
1731,Patricia Hernandez,Small Business,27,62906.08
1729,Sarah Clark,Corporate,27,81715.44
1501,David Lewis,Consumer,27,40931.42
1411,Tiffany Walker,Home Office,27,61908.62
1250,Elizabeth Sanchez,Corporate,27,74738.28
1206,John Thompson,Home Office,27,67572.76
1171,Anthony Jackson,Corporate,27,59440.51
1147,Susan Anderson,Small Business,27,78381.09
1014,Brian Gonzalez,Corporate,27,52256.57
938,Michael Martin,Home Office,27,50358.45
804,Melissa Garcia,Consumer,27,24868.83
706,Tiffany Thomas,Corporate,27,55532.39
694,Kevin Williams,Home Office,27,54266.2
427,Karen Johnson,Home Office,27,42222.08
418,Jason Davis,Home Office,27,25669.71
281,James Martinez,Home Office,27,42766.98
277,Charles Williams,Small Business,27,79152.36
275,Barbara Gonzalez,Small Business,27,66948.26
215,Andrew King,Corporate,27,65022.48
194,Amy Jackson,Consumer,27,27208.96
103,Emily Walker,Home Office,27,43244.65
35,William Martinez,Corporate,27,59192.68
1710,Jessica Lee,Corporate,26,68114.99
1372,Mary Sanchez,Corporate,26,70327.6
1246,Brittany Young,Home Office,26,30925.33
1238,David Ramirez,Home Office,26,37602.68
1075,Melissa Martin,Small Business,26,70512.27
1040,Robert Lopez,Consumer,26,34105.97
1013,Jason Wilson,Corporate,26,65024.48
985,William Johnson,Home Office,26,46271.66
908,Ashley Harris,Small Business,26,48998.03
900,Kimberly Young,Corporate,26,68353.89
760,Matthew Clark,Small Business,26,49801.62
747,Mary Martinez,Corporate,26,55661.31
666,Karen Ramirez,Home Office,26,63791.66
654,David Miller,Consumer,26,35873.52
516,Scott Robinson,Corporate,26,74684.49
446,Anthony Garcia,Corporate,26,67970.4
163,Andrew Sanchez,Consumer,26,24279.26
2,Susan Young,Consumer,26,30541.27
1799,Jeffrey Thomas,Consumer,25,20049.49
1779,Barbara Davis,Home Office,25,28760.07
1463,Michael Johnson,Consumer,25,25795.03
1460,Charles Lee,Corporate,25,48408.31
1218,Stephanie Walker,Home Office,25,35578.79
1152,Amanda Jones,Corporate,25,46615.54
854,Stephanie King,Small Business,25,52388.93
834,Susan Davis,Home Office,25,41630.17
549,Angela Johnson,Small Business,25,47546.93
296,Sarah Davis,Consumer,25,38503.77
229,Joshua Young,Small Business,25,62670.75
102,Andrew Davis,Home Office,25,44709.19
1766,Matthew Young,Corporate,24,59295.8
1752,James Hernandez,Corporate,24,54572.78
1602,Nicole Robinson,Consumer,24,28389.24
1490,Stephanie Hernandez,Home Office,24,34465.38
1467,Brandon Brown,Small Business,24,47021.38
1316,Laura Hernandez,Home Office,24,23464.5
1306,Amanda Thomas,Small Business,24,59362.32
1212,Karen Allen,Consumer,24,29378.42
1192,Robert King,Home Office,24,43319.77
1119,Patricia Lopez,Corporate,24,56655.52
980,Kevin Anderson,Consumer,24,37194.84
946,Robert Jackson,Corporate,24,69650.32
943,Tiffany Jones,Home Office,24,39464.94
681,Susan Sanchez,Consumer,24,28199.16
571,Michael Allen,Corporate,24,63143.51
556,Robert Thomas,Consumer,24,21444.96
511,Susan Anderson,Corporate,24,53086.43
480,Amanda Thompson,Consumer,24,24849.86
458,Andrew Perez,Consumer,24,33883.47
412,Elizabeth Harris,Consumer,24,31781.88
393,Amanda Martinez,Home Office,24,33573.1
158,Charles Williams,Consumer,24,29707.45
1796,Stephanie Harris,Home Office,23,24839.92
1769,John Miller,Corporate,23,62950.82
1711,Brittany Clark,Corporate,23,59102.91
1699,Daniel Lee,Corporate,23,90896.14
1669,Tiffany Thompson,Home Office,23,38793.39
1562,Daniel Sanchez,Home Office,23,51458.2
1549,Rebecca Garcia,Corporate,23,46084.39
1480,Thomas Ramirez,Small Business,23,34026.68
1288,Michelle Clark,Corporate,23,48820.21
984,Thomas Jackson,Consumer,23,23915.38
866,James Rodriguez,Corporate,23,70107.01
844,Sandra White,Home Office,23,35278.12
667,Nicole Hernandez,Small Business,23,54241.86
645,William Anderson,Small Business,23,52681.14
611,Kevin Thompson,Small Business,23,50638.48
572,Thomas Ramirez,Corporate,23,50296.94
517,Amy Martin,Home Office,23,22938.61
318,Michael Thompson,Small Business,23,68043.13
297,Robert Robinson,Small Business,23,51144.23
185,Emily Taylor,Home Office,23,31774.76
178,Jessica Lopez,Home Office,23,33301.07
144,William Johnson,Home Office,23,26673.68
1759,Laura Thomas,Corporate,22,52156.79
1743,Linda Martinez,Small Business,22,41534.75
1642,Amanda Clark,Consumer,22,29034.58
1569,Michelle Thompson,Home Office,22,36601.09
1537,Brandon King,Home Office,22,46729.64
1369,Susan Clark,Consumer,22,25581.36
1356,William Jackson,Home Office,22,31509.76
1204,Elizabeth Martin,Corporate,22,68071.28
1115,Anthony Sanchez,Corporate,22,77605.8
1092,William Rodriguez,Consumer,22,23042.8
799,Patricia Hernandez,Small Business,22,38674.18
530,Mary Wilson,Consumer,22,27135.69
327,Andrew Gonzalez,Corporate,22,64459.6
317,Michelle Hernandez,Home Office,22,20207.74
242,Scott Thomas,Corporate,22,66065.53
90,William Gonzalez,Corporate,22,51022.48
65,Justin Jackson,Small Business,22,39239.52
48,Kevin Ramirez,Consumer,22,38909.36
1713,Joshua Rodriguez,Consumer,21,22677.56
1660,Melissa Jackson,Corporate,21,44727.24
1641,Daniel White,Home Office,21,30126.48
1640,Michael Clark,Small Business,21,45750.79
1601,Sandra Hernandez,Small Business,21,53934.7
1546,Jennifer Thomas,Consumer,21,22255.59
1514,Sarah Thompson,Consumer,21,19710.28
1475,Charles Jackson,Corporate,21,56360.12
1466,Stephanie Rodriguez,Small Business,21,55576.33
1412,Kimberly Clark,Home Office,21,38310.75
1319,William Moore,Corporate,21,51030.64
1195,Barbara Allen,Home Office,21,17904.81
1161,Jason Thompson,Corporate,21,58849.4
1094,Jason King,Corporate,21,40409.39
1068,Amy Taylor,Home Office,21,22921.82
1029,Michael Johnson,Home Office,21,42425.41
957,Mary Davis,Corporate,21,63021.49
816,Amanda Gonzalez,Corporate,21,50602.22
690,Amanda Moore,Small Business,21,33333.77
471,Patricia Johnson,Consumer,21,29234.81
370,Michael White,Corporate,21,38469.46
344,Sharon Young,Small Business,21,64643.25
331,James Miller,Consumer,21,22596.08
280,Kevin White,Corporate,21,59770.95
258,Daniel Brown,Home Office,21,33430.63
205,Elizabeth Young,Home Office,21,45347.9
148,Rebecca Moore,Consumer,21,20206.82
101,Melissa Thomas,Home Office,21,34737.45
4,Jeffrey Ramirez,Home Office,21,48957.64
1798,Thomas Lopez,Consumer,20,19220.44
1689,William Sanchez,Corporate,20,66424.32
1612,Matthew Robinson,Corporate,20,60232.58
1534,Barbara Thompson,Consumer,20,19744.7
1436,William Martin,Consumer,20,24511.37
1342,John White,Consumer,20,39875.43
1249,Charles Allen,Consumer,20,21133.92
1203,Robert Johnson,Home Office,20,30502.75
1130,Amy Thomas,Consumer,20,39331.7
1012,Sarah Thomas,Corporate,20,64225.36
962,Patricia Smith,Small Business,20,45345.17
884,Brian Robinson,Corporate,20,30304.98
782,Tiffany Ramirez,Home Office,20,31337.33
745,Michael Garcia,Small Business,20,41539.88
696,Michelle Moore,Corporate,20,43502.82
624,William Anderson,Consumer,20,31403.04
503,William Harris,Home Office,20,49270.39
501,Matthew Miller,Small Business,20,44424.18
451,Thomas Taylor,Corporate,20,72821.16
450,Stephanie Moore,Home Office,20,34170.56
249,David Garcia,Consumer,20,33303.98
233,Brittany Smith,Home Office,20,30009.15
198,Michael Moore,Corporate,20,47137.08
176,Jason Harris,Corporate,20,78046.47
80,Melissa Harris,Consumer,20,41385.37
1712,Brian Rodriguez,Home Office,19,31370.33
1707,William White,Corporate,19,55151.42
1696,John Clark,Corporate,19,37214.87
1584,Laura Martin,Consumer,19,31971.2
1527,Laura White,Home Office,19,23041.67
1479,Barbara Young,Consumer,19,42106.34
1459,James Gonzalez,Corporate,19,44664.09
1295,Linda White,Consumer,19,31592.5
1280,Michael Jones,Consumer,19,13100.78
1242,Patricia Lee,Small Business,19,32699.11
1229,John Lee,Home Office,19,35412.98
1123,Michelle Garcia,Consumer,19,25119.95
1096,Elizabeth Lee,Consumer,19,22210.91
992,Andrew Hernandez,Consumer,19,12218.34
953,John Ramirez,Small Business,19,40007.57
817,William Johnson,Home Office,19,33711.41
672,Sarah Clark,Small Business,19,36569.8
657,Rebecca Walker,Corporate,19,65888.13
655,Patricia Jackson,Consumer,19,39801.88
617,Barbara King,Corporate,19,46427.62
600,Susan Young,Home Office,19,21973.27
584,Ashley Thomas,Home Office,19,22949.93
561,Melissa Davis,Home Office,19,18259.04
555,Brian Martin,Small Business,19,46951.74
533,Matthew Jones,Small Business,19,35627.34
512,Brittany Martin,Small Business,19,40163.7
349,Justin Harris,Consumer,19,22403.07
197,Robert Lopez,Consumer,19,24270.04
156,Michael Young,Consumer,19,39558.79
5,Kimberly Rodriguez,Home Office,19,50349.1
1795,Jeffrey Davis,Consumer,18,24310.84
1787,Stephanie Perez,Consumer,18,35086.92
1782,Laura Harris,Consumer,18,22272.57
1744,Mary Wilson,Consumer,18,17655.62
1659,William Taylor,Home Office,18,18598.47
1616,Sandra Thompson,Consumer,18,29931.51
1575,Angela Ramirez,Corporate,18,37466.91
1560,Andrew Sanchez,Home Office,18,16248.04
1530,Linda Lewis,Corporate,18,37033.55
1499,Susan Williams,Home Office,18,37394.79
1338,Anthony Rodriguez,Home Office,18,28345.25
1301,Amy White,Small Business,18,27426.46
1298,Ashley Johnson,Home Office,18,18069.56
1244,Michael Moore,Corporate,18,45314.57
1139,Sarah Allen,Consumer,18,19870.02
1111,Matthew Jackson,Corporate,18,35235.58
1109,Jason Allen,Consumer,18,22407.71
1100,Barbara Thompson,Corporate,18,36903.43
905,Robert White,Home Office,18,25216.83
748,Brittany Wilson,Home Office,18,39531.95
740,Charles Johnson,Small Business,18,41289.17
691,Jason Wilson,Corporate,18,31073.55
648,Jeffrey Lewis,Home Office,18,21710.68
537,Laura White,Consumer,18,14607.29
481,John Sanchez,Corporate,18,54683.85
273,Elizabeth Jones,Small Business,18,33142.51
190,Brandon Walker,Corporate,18,29958.5
112,Emily Allen,Consumer,18,18744.14
52,Barbara Perez,Corporate,18,30570.34
20,Thomas White,Corporate,18,38337.91
1692,Justin Brown,Home Office,17,34725.54
1648,Michelle Martinez,Consumer,17,15070.33
1401,Jeffrey Lee,Home Office,17,18595.57
1272,Mary Martinez,Small Business,17,29438.7
1256,Elizabeth White,Consumer,17,23557.96
